layer,linear_probe_macro_auroc,linear_probe_macro_f1,reconstruction_cosine,reconstruction_nmse,mean_active_features
4,0.9947916666666667,0.9474089635854341,0.9660451127482312,0.06670970512953188,50.0
14,1.0,0.9820728291316527,0.9274159478289741,0.1398810788856021,50.0
26,1.0,0.9820728291316527,0.9647476846086127,0.06911552319901862,50.0
